"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 19 20:36:19 EST 2019","Tue Nov 19 20:36:19 EST 2019","458","testinterview.amazon","test_search","","","","test_search_airmax",""
"failed","Tue Nov 19 20:36:22 EST 2019","Tue Nov 19 20:36:22 EST 2019","343","testinterview.amazon","test_search_multiple","","","","test_search",""
"failed","Tue Nov 19 20:36:25 EST 2019","Tue Nov 19 20:36:25 EST 2019","360","testinterview.amazon","test_title","","","","test_title",""
